ensembl_gene_id	external_gene_name	entrezgene_id
YAR042W	SWH1	851286
YPL273W	SAM4	855855
YDL222C	FMP45	851304
YIL087C	AIM19	854722
YNR027W	BUD17	855761
YCR095C	OCA4	850457
YER162C	RAD4	856909
YER090W	TRP2	856824
YGL215W	CLG1	852657
YBR016W		852304
YFL025C	BST1	850519
YLR208W	SEC13	850905
YHR030C	SLT2	856425
YDR395W	SXM1	852004
YMR282C	AEP2	855325
YMR056C	AAC1	855078
YPL203W	TPK2	855898
YIL041W	GVP36	854770
YDL210W	UGA4	851317
YLR149C		850841
YGL005C	COG7	852879
YDR132C		851710
YBR015C	MNN2	852303
YER156C		856900
YLL039C	UBI4	850620
YPL214C	THI6	855887
YFR025C	HIS2	850581
YGL245W	GUS1	852606
YDR464W	SPP41	852075
YBR037C	SCO1	852325
YAL068C	PAU8	851229
YAL068C	PAU8	852630
YAL068C	PAU8	852163
YGL141W	HUL5	852736
YGL251C	HFM1	852641
YPR091C	NVJ2	856207
YJL116C	NCA3	853326
YDR341C		851942
YKL012W	PRP40	853857
YBL078C	ATG8	852200
YAR035C-A		1466430
YGR234W	YHB1	853149
YPL117C	IDI1	855986
YPL120W	VPS30	855983
YMR153W	NUP53	855184
YGR267C	FOL2	853183
YJR003C	MRX12	853459
YHR193C	EGD2	856600
YPL048W	CAM1	856059
YNL132W	KRE33	855591
YOL080C	REX4	854075
YDR444W		852054
YPL083C	SEN54	856022
YGR271C-A	EFG1	853188
YDR419W	RAD30	852028
YIR009W	MSL1	854826
YOR254C	SEC63	854428
YCL066W	HMLALPHA1	850407
YCL066W	HMLALPHA1	850293
YKR020W	VPS51	853890
YIL033C	BCY1	854778
YJL115W	ASF1	853327
YPR041W	TIF5	856154
YIR010W	DSN1	854827
YOR147W	MDM32	854318
YGL101W		852777
YNL172W	APC1	855549
YGL053W	PRM8	852828
YKL042W	SPC42	853824
YGR253C	PUP2	853168
YHR159W	TDA11	856564
YHR199C	AIM46	856606
YBR185C	MBA1	852483
YKL037W	AIM26	853829
YDR423C	CAD1	852033
YJL035C	TAD2	853417
YOL093W	TRM10	854060
YDR017C	KCS1	851580
YIL036W	CST6	854775
YJR089W	BIR1	853551
YPL124W	SPC29	855979
YLR354C	TAL1	851068
YJL042W	MHP1	853408
YDR005C	MAF1	851568
YJR107W	LIH1	853571
YLR422W	DCK1	851141
YDR098C	GRX3	851672
YKR030W	GMH1	853901
YPL232W	SSO1	855844
YMR001C-A		1466498
YCR099C		850463
YGL135W	RPL1B	855881
YGL135W	RPL1B	852742
YDR280W	RRP45	851874
YJL154C	VPS35	853287
YIL113W	SDP1	854693
YLR387C	REH1	851103
YDR328C	SKP1	851928
YJL155C	FBP26	853286
YOR109W	INP53	854276
YLR386W	VAC14	851102
YDR185C	UPS3	851766
YHR129C	ARP1	856530
YNR010W	CSE2	855744
YIR007W	EGH1	854824
YPR027C		856138
YJL004C	SYS1	853453
YDL042C	SIR2	851520
YPL095C	EEB1	856010
YIR035C		854853
YKL159C	RCN1	853698
YPR127W		856245
YFR037C	RSC8	850598
YKL161C	KDX1	853696
YLR061W	RPL22A	850750
YNL330C	RPD3	855386
YHL011C	PRS3	856375
YIL114C	POR2	854692
YPL243W	SRP68	855833
YDR541C		852154
YNL016W	PUB1	855716
YEL009C	GCN4	856709
YNL316C	PHA2	855400
YNR003C	RPC34	855737
YLR380W	CSR1	851096
YNL113W	RPC19	855609
YKL079W	SMY1	853783
YDR056C	EMC10	851626
YDL240W	LRG1	851358
YJR102C	VPS25	853566
YKR095W-A	PCC1	1500489
YPR138C	MEP3	856260
YGL108C		852770
YGL221C	NIF3	852651
YCR050C		850417
